sample number,sample code,strain,substrate,wet weight,dry weight,strain abbr,substrate abbr,,strain substrate
27,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.6,3.9,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
28,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.7,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
29,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.9,3.6,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
30,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,9.2,4.2,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
31,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7,3.3,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
32,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,6.9,3.3,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
33,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.6,3.9,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
34,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,9.3,4.3,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
35,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.7,3.9,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
36,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,9,4.1,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
37,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.5,3.5,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
38,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.8,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
39,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.5,3.5,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
40,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.5,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
1,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.5,3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
2,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.8,3.1,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
3,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
4,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.2,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
5,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6,2.7,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
6,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
7,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.8,3.7,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
8,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.3,3.4,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
9,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.2,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
