sample number,sample code,strain,substrate,wet weight,dry weight,strain substrate
14,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.8,3.8,"Ganoderma spp., hardwood pellets flax calcium sulfate"
15,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.2,3.5,"Ganoderma spp., hardwood pellets flax calcium sulfate"
16,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.9,"Ganoderma spp., hardwood pellets flax calcium sulfate"
17,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8,3.7,"Ganoderma spp., hardwood pellets flax calcium sulfate"
18,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.8,"Ganoderma spp., hardwood pellets flax calcium sulfate"
19,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.4,"Ganoderma spp., hardwood pellets flax calcium sulfate"
20,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.4,3.9,"Ganoderma spp., hardwood pellets flax calcium sulfate"
21,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.4,"Ganoderma spp., hardwood pellets flax calcium sulfate"
22,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8,3.7,"Ganoderma spp., hardwood pellets flax calcium sulfate"
23,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.4,3.4,"Ganoderma spp., hardwood pellets flax calcium sulfate"
24,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.7,3.6,"Ganoderma spp., hardwood pellets flax calcium sulfate"
25,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.4,3.9,"Ganoderma spp., hardwood pellets flax calcium sulfate"
26,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.4,3.9,"Ganoderma spp., hardwood pellets flax calcium sulfate"
27,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.6,3.9,"Ganoderma spp., hardwood pellets flax calcium sulfate"
28,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.7,"Ganoderma spp., hardwood pellets flax calcium sulfate"
29,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.9,3.6,"Ganoderma spp., hardwood pellets flax calcium sulfate"
30,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,9.2,4.2,"Ganoderma spp., hardwood pellets flax calcium sulfate"
31,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7,3.3,"Ganoderma spp., hardwood pellets flax calcium sulfate"
32,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,6.9,3.3,"Ganoderma spp., hardwood pellets flax calcium sulfate"
33,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.6,3.9,"Ganoderma spp., hardwood pellets flax calcium sulfate"
34,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,9.3,4.3,"Ganoderma spp., hardwood pellets flax calcium sulfate"
35,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.7,3.9,"Ganoderma spp., hardwood pellets flax calcium sulfate"
36,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,9,4.1,"Ganoderma spp., hardwood pellets flax calcium sulfate"
37,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.5,3.5,"Ganoderma spp., hardwood pellets flax calcium sulfate"
38,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.8,"Ganoderma spp., hardwood pellets flax calcium sulfate"
39,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.5,3.5,"Ganoderma spp., hardwood pellets flax calcium sulfate"
40,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.5,"Ganoderma spp., hardwood pellets flax calcium sulfate"
1,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,4.3,2,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
2,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,3.7,1.8,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
3,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.4,2.5,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
4,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,4.9,2.3,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
5,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.8,2.6,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
6,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,2.9,1.4,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
7,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.2,2.8,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
8,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.6,2.5,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
