sample number,sample code,strain,substrate,wet weight,dry weight,strain abbr,substrate abbr,,strain substrate
36,ERM,Ganoderma spp.,kenaf,4.1,1.2,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
37,ERM,Ganoderma spp.,kenaf,3.9,0.9,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
38,ERM,Ganoderma spp.,kenaf,4.2,1.1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
39,ERM,Ganoderma spp.,kenaf,3.9,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
40,ERM,Ganoderma spp.,kenaf,3.7,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
41,ERM,Ganoderma spp.,kenaf,3.8,1.1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
42,ERM,Ganoderma spp.,kenaf,3.3,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
43,ERM,Ganoderma spp.,kenaf,3.1,0.9,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
44,ERM,Ganoderma spp.,kenaf,3.7,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
45,ERM,Ganoderma spp.,kenaf,4,1.1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
46,ERM,Ganoderma spp.,kenaf,3.5,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
47,ERM,Ganoderma spp.,kenaf,3.4,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
48,ERM,Ganoderma spp.,kenaf,3.4,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
1,GL,Ganoderma lucidum,wood lovrs,5.66,2.14,G. lucidum,Wood, | ,G. lucidum | Wood
2,GL,Ganoderma lucidum,wood lovrs,3.72,1.81,G. lucidum,Wood, | ,G. lucidum | Wood
3,GL,Ganoderma lucidum,wood lovrs,3.42,1.74,G. lucidum,Wood, | ,G. lucidum | Wood
4,GL,Ganoderma lucidum,wood lovrs,3.8,2.34,G. lucidum,Wood, | ,G. lucidum | Wood
5,GL,Ganoderma lucidum,wood lovrs,4.6,1.76,G. lucidum,Wood, | ,G. lucidum | Wood
6,GL,Ganoderma lucidum,wood lovrs,5.74,2.42,G. lucidum,Wood, | ,G. lucidum | Wood
7,GL,Ganoderma lucidum,wood lovrs,11.45,2.74,G. lucidum,Wood, | ,G. lucidum | Wood
8,GL,Ganoderma lucidum,wood lovrs,4.81,2.3,G. lucidum,Wood, | ,G. lucidum | Wood
9,GL,Ganoderma lucidum,wood lovrs,8.95,2.4,G. lucidum,Wood, | ,G. lucidum | Wood
10,GL,Ganoderma lucidum,wood lovrs,3.35,1.92,G. lucidum,Wood, | ,G. lucidum | Wood
11,GL,Ganoderma lucidum,wood lovrs,12.55,2.54,G. lucidum,Wood, | ,G. lucidum | Wood
12,GL,Ganoderma lucidum,wood lovrs,4.41,2.15,G. lucidum,Wood, | ,G. lucidum | Wood
13,GL,Ganoderma lucidum,wood lovrs,7.34,2.19,G. lucidum,Wood, | ,G. lucidum | Wood
14,GL,Ganoderma lucidum,wood lovrs,4.42,1.89,G. lucidum,Wood, | ,G. lucidum | Wood
15,GL,Ganoderma lucidum,wood lovrs,8.45,2.05,G. lucidum,Wood, | ,G. lucidum | Wood
16,GL,Ganoderma lucidum,wood lovrs,5.51,2.66,G. lucidum,Wood, | ,G. lucidum | Wood
17,GL,Ganoderma lucidum,wood lovrs,3.87,1.73,G. lucidum,Wood, | ,G. lucidum | Wood
18,GL,Ganoderma lucidum,wood lovrs,4.59,2.45,G. lucidum,Wood, | ,G. lucidum | Wood
19,GL,Ganoderma lucidum,wood lovrs,3.77,1.9,G. lucidum,Wood, | ,G. lucidum | Wood
20,GL,Ganoderma lucidum,wood lovrs,3.66,1.8,G. lucidum,Wood, | ,G. lucidum | Wood
21,GL,Ganoderma lucidum,wood lovrs,7.07,1.92,G. lucidum,Wood, | ,G. lucidum | Wood
22,GL,Ganoderma lucidum,wood lovrs,7.55,2.09,G. lucidum,Wood, | ,G. lucidum | Wood
23,GL,Ganoderma lucidum,wood lovrs,6.52,2.31,G. lucidum,Wood, | ,G. lucidum | Wood
24,GL,Ganoderma lucidum,wood lovrs,4.69,2.31,G. lucidum,Wood, | ,G. lucidum | Wood
25,GL,Ganoderma lucidum,wood lovrs,4.01,1.93,G. lucidum,Wood, | ,G. lucidum | Wood
26,GL,Ganoderma lucidum,wood lovrs,5.23,2.02,G. lucidum,Wood, | ,G. lucidum | Wood
27,GL,Ganoderma lucidum,wood lovrs,4.69,1.89,G. lucidum,Wood, | ,G. lucidum | Wood
28,GL,Ganoderma lucidum,wood lovrs,7.15,2.19,G. lucidum,Wood, | ,G. lucidum | Wood
29,GL,Ganoderma lucidum,wood lovrs,3.67,1.7,G. lucidum,Wood, | ,G. lucidum | Wood
30,GL,Ganoderma lucidum,wood lovrs,4.22,1.95,G. lucidum,Wood, | ,G. lucidum | Wood
31,GL,Ganoderma lucidum,wood lovrs,3.77,1.91,G. lucidum,Wood, | ,G. lucidum | Wood
32,GL,Ganoderma lucidum,wood lovrs,4.57,1.98,G. lucidum,Wood, | ,G. lucidum | Wood
33,GL,Ganoderma lucidum,wood lovrs,7.35,1.93,G. lucidum,Wood, | ,G. lucidum | Wood
34,GL,Ganoderma lucidum,wood lovrs,6.71,2.35,G. lucidum,Wood, | ,G. lucidum | Wood
35,GL,Ganoderma lucidum,wood lovrs,4.58,1.88,G. lucidum,Wood, | ,G. lucidum | Wood
36,GL,Ganoderma lucidum,wood lovrs,4.71,2.22,G. lucidum,Wood, | ,G. lucidum | Wood
1,P,Pleurotus ostreatus,wood lovrs,6.56,2.21,P. ostreatus,Wood, | ,P. ostreatus | Wood
2,P,Pleurotus ostreatus,wood lovrs,5.71,2.04,P. ostreatus,Wood, | ,P. ostreatus | Wood
3,P,Pleurotus ostreatus,wood lovrs,4.05,1.8,P. ostreatus,Wood, | ,P. ostreatus | Wood
4,P,Pleurotus ostreatus,wood lovrs,3.49,1.85,P. ostreatus,Wood, | ,P. ostreatus | Wood
5,P,Pleurotus ostreatus,wood lovrs,4.12,2.29,P. ostreatus,Wood, | ,P. ostreatus | Wood
6,P,Pleurotus ostreatus,wood lovrs,3.6,1.54,P. ostreatus,Wood, | ,P. ostreatus | Wood
7,P,Pleurotus ostreatus,wood lovrs,5.89,2.35,P. ostreatus,Wood, | ,P. ostreatus | Wood
8,P,Pleurotus ostreatus,wood lovrs,4.35,1.83,P. ostreatus,Wood, | ,P. ostreatus | Wood
9,P,Pleurotus ostreatus,wood lovrs,3.75,1.99,P. ostreatus,Wood, | ,P. ostreatus | Wood
10,P,Pleurotus ostreatus,wood lovrs,4.53,2.12,P. ostreatus,Wood, | ,P. ostreatus | Wood
11,P,Pleurotus ostreatus,wood lovrs,6.79,2.49,P. ostreatus,Wood, | ,P. ostreatus | Wood
12,P,Pleurotus ostreatus,wood lovrs,7,2.57,P. ostreatus,Wood, | ,P. ostreatus | Wood
13,P,Pleurotus ostreatus,wood lovrs,6.68,2.58,P. ostreatus,Wood, | ,P. ostreatus | Wood
14,P,Pleurotus ostreatus,wood lovrs,5.69,2.24,P. ostreatus,Wood, | ,P. ostreatus | Wood
15,P,Pleurotus ostreatus,wood lovrs,6.16,2.36,P. ostreatus,Wood, | ,P. ostreatus | Wood
16,P,Pleurotus ostreatus,wood lovrs,6.61,2.24,P. ostreatus,Wood, | ,P. ostreatus | Wood
17,P,Pleurotus ostreatus,wood lovrs,7.39,2.64,P. ostreatus,Wood, | ,P. ostreatus | Wood
18,P,Pleurotus ostreatus,wood lovrs,6.04,2.22,P. ostreatus,Wood, | ,P. ostreatus | Wood
19,P,Pleurotus ostreatus,wood lovrs,5.53,1.92,P. ostreatus,Wood, | ,P. ostreatus | Wood
20,P,Pleurotus ostreatus,wood lovrs,6.14,2.17,P. ostreatus,Wood, | ,P. ostreatus | Wood
21,P,Pleurotus ostreatus,wood lovrs,5.13,1.78,P. ostreatus,Wood, | ,P. ostreatus | Wood
22,P,Pleurotus ostreatus,wood lovrs,4.14,1.49,P. ostreatus,Wood, | ,P. ostreatus | Wood
23,P,Pleurotus ostreatus,wood lovrs,5.59,2.07,P. ostreatus,Wood, | ,P. ostreatus | Wood
24,P,Pleurotus ostreatus,wood lovrs,5.58,2,P. ostreatus,Wood, | ,P. ostreatus | Wood
25,P,Pleurotus ostreatus,wood lovrs,7.27,2.48,P. ostreatus,Wood, | ,P. ostreatus | Wood
26,P,Pleurotus ostreatus,wood lovrs,5.76,2.01,P. ostreatus,Wood, | ,P. ostreatus | Wood
27,P,Pleurotus ostreatus,wood lovrs,3.58,1.48,P. ostreatus,Wood, | ,P. ostreatus | Wood
28,P,Pleurotus ostreatus,wood lovrs,5.69,1.93,P. ostreatus,Wood, | ,P. ostreatus | Wood
29,P,Pleurotus ostreatus,wood lovrs,7.5,2.75,P. ostreatus,Wood, | ,P. ostreatus | Wood
30,P,Pleurotus ostreatus,wood lovrs,5.08,1.52,P. ostreatus,Wood, | ,P. ostreatus | Wood
31,P,Pleurotus ostreatus,wood lovrs,4.25,1.66,P. ostreatus,Wood, | ,P. ostreatus | Wood
32,P,Pleurotus ostreatus,wood lovrs,4.55,1.84,P. ostreatus,Wood, | ,P. ostreatus | Wood
33,P,Pleurotus ostreatus,wood lovrs,7.33,2.68,P. ostreatus,Wood, | ,P. ostreatus | Wood
34,P,Pleurotus ostreatus,wood lovrs,6,2.1,P. ostreatus,Wood, | ,P. ostreatus | Wood
35,P,Pleurotus ostreatus,wood lovrs,6.63,2.21,P. ostreatus,Wood, | ,P. ostreatus | Wood
36,P,Pleurotus ostreatus,wood lovrs,5.13,1.87,P. ostreatus,Wood, | ,P. ostreatus | Wood
37,P,Pleurotus ostreatus,wood lovrs,3.86,1.79,P. ostreatus,Wood, | ,P. ostreatus | Wood
38,P,Pleurotus ostreatus,wood lovrs,6.24,2.36,P. ostreatus,Wood, | ,P. ostreatus | Wood
39,P,Pleurotus ostreatus,wood lovrs,5.88,1.99,P. ostreatus,Wood, | ,P. ostreatus | Wood
40,P,Pleurotus ostreatus,wood lovrs,6.51,2.31,P. ostreatus,Wood, | ,P. ostreatus | Wood
